drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
caffeine	COVID-19	1.5	0.00349187	0.7	0.932553690638086	COVID-19	1.5	0.00349187	0.7	0.932553690638086
camphor	COVID-19	1.5	0.035008554	0.7	0.932553690638086	COVID-19	1.5	0.035008554	0.7	0.932553690638086
cetirizine	COVID-19	1	0.02663977	0.8	0.986750547127744	COVID-19	1	0.02663977	0.8	0.986750547127744
cetirizine	COVID-19	1	0.02663977	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.001217201	0.8	0.995914758816832
chlorcyclizine	COVID-19	1	0.029005886	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.000485529	0.8	0.238582226433829
chlorcyclizine	COVID-19	1	0.029005886	0.8	0.986750547127744	COVID-19	1	0.029005886	0.8	0.986750547127744
clofedanol	COVID-19	1	0.026153288	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.000222043	0.8	0.238582226433829
clofedanol	COVID-19	1	0.026153288	0.8	0.986750547127744	COVID-19	1	0.026153288	0.8	0.986750547127744
coagulation factor ix (recombinant)	COVID-19	1.142857143	0.036754006	0.7714285714	0.190589784974957	Severe Acute Respiratory Syndrome	1	2.55e-18	0.8	0.238582226433829
coagulation factor ix (recombinant)	COVID-19	1.142857143	0.036754006	0.7714285714	0.190589784974957	COVID-19	1.142857143	0.036754006	0.7714285714	0.190589784974957
coccidioides immitis spherule	COVID-19	1	0.010547167	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	2.14e-08	0.8	0.238582226433829
coccidioides immitis spherule	COVID-19	1	0.010547167	0.8	0.986750547127744	COVID-19	1	0.010547167	0.8	0.986750547127744
corticorelin ovine triflutate	COVID-19	1	0.01684862	0.8	0.986750547127744	COVID-19	1	0.01684862	0.8	0.986750547127744
crisaborole	COVID-19	1	0.003049412	0.8	0.986750547127744	COVID-19	1	0.003049412	0.8	0.986750547127744
dacarbazine	COVID-19	0.5	0.028468934	0.9	0.997513345159931	COVID-19	0.5	0.028468934	0.9	0.997513345159931
decitabine	COVID-19	0	0.007565675	1	0.999537403793522	COVID-19	0	0.007565675	1	0.999537403793522
deserpidine	COVID-19	1	0.031681265	0.8	0.986750547127744	COVID-19	1	0.031681265	0.8	0.986750547127744
desloratadine	COVID-19	1	0.046397164	0.8	0.986750547127744	COVID-19	1	0.046397164	0.8	0.986750547127744
desloratadine	COVID-19	1	0.046397164	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.003137502	0.8	0.238582226433829
dexbrompheniramine	COVID-19	1	0.040701925	0.8	0.986750547127744	COVID-19	1	0.040701925	0.8	0.986750547127744
dexbrompheniramine	COVID-19	1	0.040701925	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.001317948	0.8	0.238582226433829
dexchlorpheniramine maleate	COVID-19	1	0.016708873	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.009508237	0.8	0.238582226433829
dexchlorpheniramine maleate	COVID-19	1	0.016708873	0.8	0.986750547127744	COVID-19	1	0.016708873	0.8	0.986750547127744
diacerein	COVID-19	1.333333333	0.023456278	0.7333333334	0.960375760270577	COVID-19	1.333333333	0.023456278	0.7333333334	0.960375760270577
dipyridamole	COVID-19	1.333333333	0.007929386	0.7333333334	0.960375760270577	COVID-19	1.333333333	0.007929386	0.7333333334	0.960375760270577
doxapram	COVID-19	1	0.026116908	0.8	0.986750547127744	COVID-19	1	0.026116908	0.8	0.986750547127744
drotaverine	COVID-19	1	0.043372074	0.8	0.986750547127744	COVID-19	1	0.043372074	0.8	0.986750547127744
dyphylline	COVID-19	1.5	0.044073124	0.7	0.932553690638086	COVID-19	1.5	0.044073124	0.7	0.932553690638086
enalapril	COVID-19	1	0.030316224	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	0	1.21e-32	1	0.999894897372381
enalapril	COVID-19	1	0.030316224	0.8	0.986750547127744	COVID-19	1	0.030316224	0.8	0.986750547127744
entacapone	COVID-19	0	0.007573988	1	0.999537403793522	COVID-19	0	0.007573988	1	0.999537403793522
entacapone	COVID-19	0	0.007573988	1	0.999537403793522	Severe Acute Respiratory Syndrome	1	0.004752629	0.8	0.238582226433829
estradiol	COVID-19	1	0.022085672	0.8	0.986750547127744	COVID-19	1	0.022085672	0.8	0.986750547127744
estradiol benzoate	COVID-19	1	0.035728493	0.8	0.986750547127744	COVID-19	1	0.035728493	0.8	0.986750547127744
fexofenadine	COVID-19	1	0.022677194	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.000958758	0.8	0.238582226433829
fexofenadine	COVID-19	1	0.022677194	0.8	0.986750547127744	COVID-19	1	0.022677194	0.8	0.986750547127744
flavin adenine dinucleotide	COVID-19	1.346153846	0.000655026	0.7307692308	0.135547308191401	COVID-19	1.346153846	0.000655026	0.7307692308	0.135547308191401
flavin adenine dinucleotide	COVID-19	1.346153846	0.000655026	0.7307692308	0.135547308191401	Hemorrhagic Fever, Ebola	2.153846154	0.034505677	0.5692307692	0.853342280994669
flucytosine	COVID-19	0	0.003137502	1	0.999537403793522	COVID-19	0	0.003137502	1	0.999537403793522
glimepiride	COVID-19	1.333333333	0.032948002	0.7333333334	0.960375760270577	COVID-19	1.333333333	0.032948002	0.7333333334	0.960375760270577
hydroxyzine	COVID-19	1	0.013472051	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	1.51e-05	0.8	0.238582226433829
hydroxyzine	COVID-19	1	0.013472051	0.8	0.986750547127744	COVID-19	1	0.013472051	0.8	0.986750547127744
iloprost	COVID-19	1.375	0.048318201	0.725	0.95467712833048	COVID-19	1.375	0.048318201	0.725	0.95467712833048
isoniazid	COVID-19	1	1.6e-05	0.8	0.986750547127744	COVID-19	1	1.6e-05	0.8	0.986750547127744
isradipine	COVID-19	1.571428571	0.029522647	0.6857142858	0.915756767880311	COVID-19	1.571428571	0.029522647	0.6857142858	0.915756767880311
ixekizumab	COVID-19	1	2.43e-05	0.8	0.986750547127744	COVID-19	1	2.43e-05	0.8	0.986750547127744
kappadione	COVID-19	0.857142857	0.000721207	0.8285714286	0.991768860578011	COVID-19	0.857142857	0.000721207	0.8285714286	0.991768860578011
kappadione	COVID-19	0.857142857	0.000721207	0.8285714286	0.991768860578011	Severe Acute Respiratory Syndrome	1	2.14e-21	0.8	0.238582226433829
latanoprost	COVID-19	1	0.02663977	0.8	0.986750547127744	COVID-19	1	0.02663977	0.8	0.986750547127744
latanoprostene bunod	COVID-19	1	0.012922929	0.8	0.986750547127744	COVID-19	1	0.012922929	0.8	0.986750547127744
lopinavir	COVID-19	1.333333333	0.043525152	0.7333333334	0.960375760270577	COVID-19	1.333333333	0.043525152	0.7333333334	0.960375760270577
menadione	COVID-19	1.153846154	0.001049077	0.7692307692	0.977954364234297	COVID-19	1.153846154	0.001049077	0.7692307692	0.977954364234297
menadione	COVID-19	1.153846154	0.001049077	0.7692307692	0.977954364234297	Severe Acute Respiratory Syndrome	1.307692308	1.14e-13	0.7384615384	0.144815986657382
mepyramine	COVID-19	1	0.034145871	0.8	0.986750547127744	COVID-19	1	0.034145871	0.8	0.986750547127744
mepyramine	COVID-19	1	0.034145871	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.000131997	0.8	0.238582226433829
methdilazine	COVID-19	1	0.008929131	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.010033437	0.8	0.238582226433829
methdilazine	COVID-19	1	0.008929131	0.8	0.986750547127744	COVID-19	1	0.008929131	0.8	0.986750547127744
migalastat	COVID-19	0	0.002790208	1	0.999537403793522	COVID-19	0	0.002790208	1	0.999537403793522
mycophenolic acid	COVID-19	0.5	0.003846159	0.9	0.997513345159931	Severe Acute Respiratory Syndrome	1.5	0.022677194	0.7	0.103357055935275
mycophenolic acid	COVID-19	0.5	0.003846159	0.9	0.997513345159931	COVID-19	0.5	0.003846159	0.9	0.997513345159931
nelarabine	COVID-19	0	0.009600716	1	0.999537403793522	COVID-19	0	0.009600716	1	0.999537403793522
nialamide	COVID-19	1.333333333	0.035379458	0.7333333334	0.960375760270577	Severe Acute Respiratory Syndrome	1.666666667	0.032533363	0.6666666666	0.0762938615794113
nialamide	COVID-19	1.333333333	0.035379458	0.7333333334	0.960375760270577	COVID-19	1.333333333	0.035379458	0.7333333334	0.960375760270577
nifedipine	COVID-19	1.333333333	0.027047528	0.7333333334	0.960375760270577	COVID-19	1.333333333	0.027047528	0.7333333334	0.960375760270577
noscapine	COVID-19	0	9.27e-10	1	0.999537403793522	COVID-19	0	9.27e-10	1	0.999537403793522
opicapone	COVID-19	0	0.005392425	1	0.999537403793522	Severe Acute Respiratory Syndrome	1	0.000370198	0.8	0.238582226433829
opicapone	COVID-19	0	0.005392425	1	0.999537403793522	COVID-19	0	0.005392425	1	0.999537403793522
oseltamivir	COVID-19	1	0.009396035	0.8	0.986750547127744	COVID-19	1	0.009396035	0.8	0.986750547127744
papaverine	COVID-19	1	0.000844668	0.8	0.986750547127744	COVID-19	1	0.000844668	0.8	0.986750547127744
pentazocine	COVID-19	1	0.016625495	0.8	0.986750547127744	COVID-19	1	0.016625495	0.8	0.986750547127744
phenindamine	COVID-19	1	0.0138285	0.8	0.986750547127744	COVID-19	1	0.0138285	0.8	0.986750547127744
phenindamine	COVID-19	1	0.0138285	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	0.007917069	0.8	0.238582226433829
phenylalanine	COVID-19	1.285714286	0.019332109	0.7428571428	0.966047541526261	COVID-19	1.285714286	0.019332109	0.7428571428	0.966047541526261
phylloquinone	COVID-19	0.5	3.83e-05	0.9	0.997513345159931	Severe Acute Respiratory Syndrome	1.5	0.003515376	0.7	0.103357055935275
phylloquinone	COVID-19	0.5	3.83e-05	0.9	0.997513345159931	COVID-19	0.5	3.83e-05	0.9	0.997513345159931
piperazine	COVID-19	1	0.044843011	0.8	0.986750547127744	COVID-19	1	0.044843011	0.8	0.986750547127744
propylhexedrine	COVID-19	1	0.011195598	0.8	0.986750547127744	COVID-19	1	0.011195598	0.8	0.986750547127744
quinapril	COVID-19	1	0.023296852	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	0	6.44e-08	1	0.698366604594021
quinapril	COVID-19	1	0.023296852	0.8	0.986750547127744	COVID-19	1	0.023296852	0.8	0.986750547127744
rescinnamine	COVID-19	1	0.034338783	0.8	0.986750547127744	COVID-19	1	0.034338783	0.8	0.986750547127744
rescinnamine	COVID-19	1	0.034338783	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	0	3.74e-08	1	0.698366604594021
riboflavin	COVID-19	1	0.000772673	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1.5	0.009458151	0.7	0.103357055935275
riboflavin	COVID-19	1	0.000772673	0.8	0.986750547127744	COVID-19	1	0.000772673	0.8	0.986750547127744
roflumilast	COVID-19	1	0.001273155	0.8	0.986750547127744	COVID-19	1	0.001273155	0.8	0.986750547127744
romidepsin	COVID-19	0.6	0.004758034	0.88	0.996521099190661	COVID-19	0.6	0.004758034	0.88	0.996521099190661
sapropterin	COVID-19	1	0.00329072	0.8	0.986750547127744	COVID-19	1	0.00329072	0.8	0.986750547127744
sapropterin	COVID-19	1	0.00329072	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1.5	0.007507673	0.7	0.103357055935275
scopolamine	COVID-19	1.625	0.049905262	0.675	0.900753799006629	COVID-19	1.625	0.049905262	0.675	0.900753799006629
secukinumab	COVID-19	1	0.000143541	0.8	0.986750547127744	COVID-19	1	0.000143541	0.8	0.986750547127744
spirapril	COVID-19	1	0.038314193	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	0	4.83e-10	1	0.698366604594021
spirapril	COVID-19	1	0.038314193	0.8	0.986750547127744	COVID-19	1	0.038314193	0.8	0.986750547127744
streptozocin	COVID-19	1	0.025702176	0.8	0.986750547127744	COVID-19	1	0.025702176	0.8	0.986750547127744
sulfinpyrazone	COVID-19	1	0.02293942	0.8	0.986750547127744	COVID-19	1	0.02293942	0.8	0.986750547127744
tadalafil	COVID-19	1	4.33e-05	0.8	0.986750547127744	COVID-19	1	4.33e-05	0.8	0.986750547127744
tafluprost	COVID-19	1	0.003525365	0.8	0.986750547127744	COVID-19	1	0.003525365	0.8	0.986750547127744
telotristat ethyl	COVID-19	1	0.000143541	0.8	0.986750547127744	COVID-19	1	0.000143541	0.8	0.986750547127744
teriparatide	COVID-19	1	0.038314193	0.8	0.986750547127744	COVID-19	1	0.038314193	0.8	0.986750547127744
threonine	COVID-19	1	0.01176664	0.8	0.986750547127744	COVID-19	1	0.01176664	0.8	0.986750547127744
tiludronic acid	COVID-19	0.5	0.03038334	0.9	0.997513345159931	Severe Acute Respiratory Syndrome	1	0.002927344	0.8	0.238582226433829
tiludronic acid	COVID-19	0.5	0.03038334	0.9	0.997513345159931	COVID-19	0.5	0.03038334	0.9	0.997513345159931
tolcapone	COVID-19	0	0.004637676	1	0.999537403793522	Severe Acute Respiratory Syndrome	1	6.63e-06	0.8	0.238582226433829
tolcapone	COVID-19	0	0.004637676	1	0.999537403793522	COVID-19	0	0.004637676	1	0.999537403793522
travoprost	COVID-19	1	0.004752629	0.8	0.986750547127744	COVID-19	1	0.004752629	0.8	0.986750547127744
triprolidine	COVID-19	1	0.0138285	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	1	6.79e-05	0.8	0.238582226433829
triprolidine	COVID-19	1	0.0138285	0.8	0.986750547127744	COVID-19	1	0.0138285	0.8	0.986750547127744
turoctocog alfa	COVID-19	1	0.036009567	0.8	0.986750547127744	COVID-19	1	0.036009567	0.8	0.986750547127744
turoctocog alfa	COVID-19	1	0.036009567	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	0.666666667	3.94e-18	0.8666666666	0.378998439979883
turoctocog alfa pegol	COVID-19	1	0.026260774	0.8	0.986750547127744	COVID-19	1	0.026260774	0.8	0.986750547127744
turoctocog alfa pegol	COVID-19	1	0.026260774	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	0.666666667	7.25e-12	0.8666666666	0.378998439979883
udenafil	COVID-19	1	0.00035751	0.8	0.986750547127744	COVID-19	1	0.00035751	0.8	0.986750547127744
zofenopril	COVID-19	1	0.042200802	0.8	0.986750547127744	COVID-19	1	0.042200802	0.8	0.986750547127744
zofenopril	COVID-19	1	0.042200802	0.8	0.986750547127744	Severe Acute Respiratory Syndrome	0	2e-11	1	0.698366604594021
