disease	drug	proximity	pval
Severe Acute Respiratory Syndrome	amobarbital	2.1	0.170953605
Severe Acute Respiratory Syndrome	amodiaquine	2	0.365169824
Severe Acute Respiratory Syndrome	amoxapine	2.146341463	0.724210833
Severe Acute Respiratory Syndrome	amphetamine	2.058823529	0.571334744
Severe Acute Respiratory Syndrome	ampicillin	3	0.998299604
Severe Acute Respiratory Syndrome	amrinone	1.5	0.023867162
Severe Acute Respiratory Syndrome	amsacrine	1.5	0.008469356
Severe Acute Respiratory Syndrome	amyl nitrite	2	0.532482826
Severe Acute Respiratory Syndrome	amylmetacresol	3	0.999221537
Severe Acute Respiratory Syndrome	amylocaine	2.142857143	0.531359364
Severe Acute Respiratory Syndrome	anagrelide	2	0.59334829
Severe Acute Respiratory Syndrome	anakinra	1	7.67E-09
Severe Acute Respiratory Syndrome	anastrozole	2	0.332054137
Severe Acute Respiratory Syndrome	ancestim	2	0.673753328
Severe Acute Respiratory Syndrome	ancrod	1	4.10E-05
Severe Acute Respiratory Syndrome	andexanet alfa	2	0.56945295
Severe Acute Respiratory Syndrome	angiotensin ii	1	4.79E-07
Severe Acute Respiratory Syndrome	anileridine	2	0.615393999
Severe Acute Respiratory Syndrome	anisindione	1	0.000826394
Severe Acute Respiratory Syndrome	anisotropine methylbromide	2.333333333	0.875761135
Severe Acute Respiratory Syndrome	anistreplase	1	1.07E-06
Severe Acute Respiratory Syndrome	antazoline	1	6.44E-08
Severe Acute Respiratory Syndrome	anthralin	2	0.543658636
Severe Acute Respiratory Syndrome	anti-inhibitor coagulant complex	0.875	1.59E-28
Severe Acute Respiratory Syndrome	antihemophilic factor (recombinant), pegylated	2	0.607564331
Severe Acute Respiratory Syndrome	antihemophilic factor human	1	7.74E-06
Severe Acute Respiratory Syndrome	antihemophilic factor, human recombinant	1.363636364	2.72E-07
Severe Acute Respiratory Syndrome	antipyrine	2	0.513236346
Severe Acute Respiratory Syndrome	antithrombin alfa	0.5	2.03E-09
Severe Acute Respiratory Syndrome	antithrombin iii human	1	0.000160848
Severe Acute Respiratory Syndrome	antithymocyte immunoglobulin (rabbit)	2	0.429643817
Severe Acute Respiratory Syndrome	antrafenine	2	0.585318466
Severe Acute Respiratory Syndrome	apalutamide	2.071428571	0.120436127
Severe Acute Respiratory Syndrome	apixaban	1	0.001296123
Severe Acute Respiratory Syndrome	apomorphine	2.4	0.999888603
Severe Acute Respiratory Syndrome	apraclonidine	2.333333333	0.978028889
Severe Acute Respiratory Syndrome	aprepitant	2	0.377174872
Severe Acute Respiratory Syndrome	aprotinin	1.75	0.123410928
Severe Acute Respiratory Syndrome	arbutamine	1.666666667	0.122033748
Severe Acute Respiratory Syndrome	arbutin	2	0.353016105
Severe Acute Respiratory Syndrome	ardeparin	1	4.53E-05
Severe Acute Respiratory Syndrome	arformoterol	1	0.140507573
Severe Acute Respiratory Syndrome	argatroban	0	1.70E-07
Severe Acute Respiratory Syndrome	aripiprazole	2.255813953	0.99985253
Severe Acute Respiratory Syndrome	aripiprazole lauroxil	2.28	0.999211274
Severe Acute Respiratory Syndrome	armodafinil	2	0.5
Severe Acute Respiratory Syndrome	arsenic trioxide	1.7	0.8982056
Severe Acute Respiratory Syndrome	arzoxifene	2	0.996617038
Severe Acute Respiratory Syndrome	ascorbic acid	2.043478261	0.35674269
Severe Acute Respiratory Syndrome	asenapine	2.105263158	0.871617646
Severe Acute Respiratory Syndrome	asfotase alfa	2	0.545204053
Severe Acute Respiratory Syndrome	asparagine	1.833333333	0.092312258
Severe Acute Respiratory Syndrome	aspartic acid	1.9	0.077432825
Severe Acute Respiratory Syndrome	astemizole	1.75	0.081999686
Severe Acute Respiratory Syndrome	atenolol	1.5	0.245271803
Severe Acute Respiratory Syndrome	atezolizumab	3	0.982114374
Severe Acute Respiratory Syndrome	atomoxetine	2.181818182	0.948004077
Severe Acute Respiratory Syndrome	atorvastatin	1.6	0.083329054
Severe Acute Respiratory Syndrome	atosiban	2	0.224998785
Severe Acute Respiratory Syndrome	atovaquone	2	0.460172163
Severe Acute Respiratory Syndrome	atracurium besylate	3	0.944703057
Severe Acute Respiratory Syndrome	atropine	2.428571429	0.980666796
Severe Acute Respiratory Syndrome	auranofin	1.5	0.097085996
Severe Acute Respiratory Syndrome	aurothioglucose	2.333333333	0.730311442
Severe Acute Respiratory Syndrome	avanafil	2	0.337981481
Severe Acute Respiratory Syndrome	avatrombopag	2	0.365492599
Severe Acute Respiratory Syndrome	avelumab	3	0.985067608
Severe Acute Respiratory Syndrome	axicabtagene ciloleucel	2	0.590280184
Severe Acute Respiratory Syndrome	axitinib	2	0.711965092
Severe Acute Respiratory Syndrome	azacitidine	2	0.667945863
Severe Acute Respiratory Syndrome	azatadine	1	0.000485529
Severe Acute Respiratory Syndrome	azathioprine	1.5	0.234761056
Severe Acute Respiratory Syndrome	azelaic acid	2	0.282829544
Severe Acute Respiratory Syndrome	azelastine	2	0.234272452
Severe Acute Respiratory Syndrome	azilsartan medoxomil	1	0.000143541
Severe Acute Respiratory Syndrome	azithromycin	2	0.515010203
Severe Acute Respiratory Syndrome	bacitracin	1.5	0.068846728
Severe Acute Respiratory Syndrome	baclofen	2.5	0.993329998
Severe Acute Respiratory Syndrome	balsalazide	2	0.70375561
Severe Acute Respiratory Syndrome	baricitinib	1.25	0.006041671
Severe Acute Respiratory Syndrome	basiliximab	1.75	0.003525365
Severe Acute Respiratory Syndrome	bazedoxifene	2	0.998192976
Severe Acute Respiratory Syndrome	becaplermin	1.666666667	0.273118064
Severe Acute Respiratory Syndrome	beclomethasone dipropionate	2	0.77223895
Severe Acute Respiratory Syndrome	belatacept	2.5	0.960482304
Severe Acute Respiratory Syndrome	belimumab	2	0.400760484
Severe Acute Respiratory Syndrome	belinostat	1.818181818	0.904814649
Severe Acute Respiratory Syndrome	bemiparin	1	1.60E-08
Severe Acute Respiratory Syndrome	benazepril	0	3.47E-14
Severe Acute Respiratory Syndrome	bendazac	2	0.560301694
Severe Acute Respiratory Syndrome	bendroflumethiazide	2.4	0.995052551
Severe Acute Respiratory Syndrome	benralizumab	1.5	0.003054591
Severe Acute Respiratory Syndrome	benserazide	2	0.337981481
Severe Acute Respiratory Syndrome	benzatropine	2	0.347295323
Severe Acute Respiratory Syndrome	benzocaine	2	0.257403133
Severe Acute Respiratory Syndrome	benzoic acid	2.6	0.997460366
Severe Acute Respiratory Syndrome	benzonatate	2	0.580471939
Severe Acute Respiratory Syndrome	benzphetamine	2	0.506356714
Severe Acute Respiratory Syndrome	benzthiazide	2.333333333	0.981327346
Severe Acute Respiratory Syndrome	benzylpenicillin	3.5	0.999320272
Severe Acute Respiratory Syndrome	benzylpenicilloyl polylysine	2	0.480136231
Severe Acute Respiratory Syndrome	bepotastine	1	2.43E-05
Severe Acute Respiratory Syndrome	bepridil	1.9	0.412356073
Severe Acute Respiratory Syndrome	berberine	2	0.56945295
Severe Acute Respiratory Syndrome	betahistine	2	0.200034182
Severe Acute Respiratory Syndrome	betamethasone	2	0.77223895
Severe Acute Respiratory Syndrome	betaxolol	1.5	0.228905977
Severe Acute Respiratory Syndrome	betazole	3	0.808703102
Severe Acute Respiratory Syndrome	bethanechol	2.25	0.858661015
Severe Acute Respiratory Syndrome	bethanidine	2.142857143	0.886112546
Severe Acute Respiratory Syndrome	betrixaban	1	5.46E-07
Severe Acute Respiratory Syndrome	bevacizumab	1.7	0.000186984
Severe Acute Respiratory Syndrome	bexarotene	2	0.824135004
Severe Acute Respiratory Syndrome	bezafibrate	2	0.89487522
Severe Acute Respiratory Syndrome	bicalutamide	2	0.902914004
Severe Acute Respiratory Syndrome	bilastine	1	0.010455593
Severe Acute Respiratory Syndrome	bimatoprost	2.333333333	0.914019789
Severe Acute Respiratory Syndrome	binimetinib	0.8	7.85E-09
Severe Acute Respiratory Syndrome	bioallethrin	2.178571429	0.593756615
Severe Acute Respiratory Syndrome	biotin	2	0.650540166
Severe Acute Respiratory Syndrome	biperiden	3	0.991273528
Severe Acute Respiratory Syndrome	bisoprolol	1.5	0.22114236
Severe Acute Respiratory Syndrome	bivalirudin	0	1.44E-12
Severe Acute Respiratory Syndrome	bleomycin	2	0.652061235
Severe Acute Respiratory Syndrome	blinatumomab	2	0.652868292
Severe Acute Respiratory Syndrome	bortezomib	1.5	0.188488551
Severe Acute Respiratory Syndrome	bosentan	1.5	0.006016778
Severe Acute Respiratory Syndrome	bosutinib	1.5	0.196181453
Severe Acute Respiratory Syndrome	botulinum toxin type a	2	0.679454089
Severe Acute Respiratory Syndrome	botulinum toxin type b	2	0.628854285
Severe Acute Respiratory Syndrome	bremelanotide	2.4	0.9979624
Severe Acute Respiratory Syndrome	brentuximab vedotin	2	0.400760484
Severe Acute Respiratory Syndrome	bretylium	2	0.673753328
Severe Acute Respiratory Syndrome	brexanolone	2.076923077	0.105189178
Severe Acute Respiratory Syndrome	brexpiprazole	2.2	0.928594001
Severe Acute Respiratory Syndrome	brigatinib	1.666666667	0.46285652
Severe Acute Respiratory Syndrome	brimonidine	2.666666667	0.997191163
Severe Acute Respiratory Syndrome	brinzolamide	2.6	0.920305637
Severe Acute Respiratory Syndrome	brivaracetam	2.454545455	0.989334768
Severe Acute Respiratory Syndrome	brolucizumab	2	0.590280184
Severe Acute Respiratory Syndrome	bromazepam	2.066666667	0.09507562
Severe Acute Respiratory Syndrome	bromfenac	2	0.575754323
Severe Acute Respiratory Syndrome	bromocriptine	2.277777778	0.999193454
Severe Acute Respiratory Syndrome	bromodiphenhydramine	1	0.001994221
Severe Acute Respiratory Syndrome	brompheniramine	2.166666667	0.508411278
Severe Acute Respiratory Syndrome	buclizine	2	0.328170027
Severe Acute Respiratory Syndrome	budesonide	2	0.7921613
Severe Acute Respiratory Syndrome	bufexamac	2	0.800364842
Severe Acute Respiratory Syndrome	bumetanide	2.2	0.921786718
Severe Acute Respiratory Syndrome	bupivacaine	2	0.278665131
Severe Acute Respiratory Syndrome	buprenorphine	2.25	0.973037426
Severe Acute Respiratory Syndrome	bupropion	2	0.359405481
Severe Acute Respiratory Syndrome	buserelin	2.5	0.893318648
Severe Acute Respiratory Syndrome	buspirone	2	0.518611293
Severe Acute Respiratory Syndrome	butabarbital	2.058823529	0.079315524
Severe Acute Respiratory Syndrome	butalbital	2.058823529	0.079536843
Severe Acute Respiratory Syndrome	butamben	2.206896552	0.783710362
Severe Acute Respiratory Syndrome	butenafine	2	0.370481804
Severe Acute Respiratory Syndrome	butobarbital	2.1	0.179989774
Severe Acute Respiratory Syndrome	butorphanol	2	0.657315717
Severe Acute Respiratory Syndrome	butriptyline	1.666666667	0.062832675
Severe Acute Respiratory Syndrome	butylscopolamine	2	0.453959047
Severe Acute Respiratory Syndrome	cabazitaxel	2	0.826035246
Severe Acute Respiratory Syndrome	cabergoline	2.2	0.991433539
Severe Acute Respiratory Syndrome	cabozantinib	2	0.757079527
Severe Acute Respiratory Syndrome	caffeine	2.0625	0.311016974
Severe Acute Respiratory Syndrome	calcifediol	2	0.701397079
Severe Acute Respiratory Syndrome	calcipotriol	2	0.727448766
Severe Acute Respiratory Syndrome	calcitriol	2	0.671829973
Severe Acute Respiratory Syndrome	calcium	2.052631579	0.893354481
Severe Acute Respiratory Syndrome	calcium carbimide	2	0.228334204
Severe Acute Respiratory Syndrome	calcium chloride	1	2.43E-05
Severe Acute Respiratory Syndrome	calcium citrate	2	0.709441672
Severe Acute Respiratory Syndrome	calcium levulinate	1.5	0.28211525
Severe Acute Respiratory Syndrome	calcium phosphate	2	0.6952831
Severe Acute Respiratory Syndrome	calcium phosphate dihydrate	2	0.708358262
Severe Acute Respiratory Syndrome	camphor	2	0.176876222
Severe Acute Respiratory Syndrome	canakinumab	0	2.53E-10
Severe Acute Respiratory Syndrome	candesartan cilexetil	1	4.10E-05
Severe Acute Respiratory Syndrome	cangrelor	3	0.844821915
Severe Acute Respiratory Syndrome	cannabidiol	2	0.136450625
Severe Acute Respiratory Syndrome	cantharidin	2	0.673753328
Severe Acute Respiratory Syndrome	capecitabine	2	0.615393999
Severe Acute Respiratory Syndrome	caplacizumab	2	0.615393999
Severe Acute Respiratory Syndrome	capromab pendetide	2	0.29576249
Severe Acute Respiratory Syndrome	capsaicin	2	0.688340369
Severe Acute Respiratory Syndrome	capsicum oleoresin	2	0.560301694
Severe Acute Respiratory Syndrome	captopril	1	8.76E-13
Severe Acute Respiratory Syndrome	carbamazepine	2.111111111	0.503468192
Severe Acute Respiratory Syndrome	carbamoylcholine	2.333333333	0.937071298
Severe Acute Respiratory Syndrome	carbetocin	2	0.350260214
Severe Acute Respiratory Syndrome	carbidopa	2	0.257403133
Severe Acute Respiratory Syndrome	carbimazole	2	0.314940479
Severe Acute Respiratory Syndrome	carbinoxamine	1	0.000958758
Severe Acute Respiratory Syndrome	carbocisteine	2	0.662018519
Severe Acute Respiratory Syndrome	carbon monoxide	2	0.298602921
Severe Acute Respiratory Syndrome	carboprost tromethamine	2	0.389537016
Severe Acute Respiratory Syndrome	carboxin	1	0.019968885
Severe Acute Respiratory Syndrome	carboxymethylcellulose	2	0.607564331
Severe Acute Respiratory Syndrome	carfilzomib	1.833333333	0.468105051
Severe Acute Respiratory Syndrome	carglumic acid	2	0.565406593
Severe Acute Respiratory Syndrome	cariprazine	1.833333333	0.081546572
Severe Acute Respiratory Syndrome	carisoprodol	2	0.20322754
Severe Acute Respiratory Syndrome	carmustine	2	0.575927349
Severe Acute Respiratory Syndrome	carprofen	2	0.458464439
Severe Acute Respiratory Syndrome	carteolol	1.5	0.219046099
Severe Acute Respiratory Syndrome	carvedilol	2.055555556	0.975734606
Severe Acute Respiratory Syndrome	castor oil	2	0.417821713
Severe Acute Respiratory Syndrome	catridecacog	2	0.237569428
Severe Acute Respiratory Syndrome	catumaxomab	1.571428571	0.000579387
Severe Acute Respiratory Syndrome	cefazolin	1.666666667	0.023223232
Severe Acute Respiratory Syndrome	cefdinir	2	0.374957161
Severe Acute Respiratory Syndrome	cefotaxime	2.666666667	0.986334177
Severe Acute Respiratory Syndrome	ceftriaxone	3	0.996484624
Severe Acute Respiratory Syndrome	celecoxib	2.25	0.853919294
Severe Acute Respiratory Syndrome	celiprolol	2.166666667	0.917783507
Severe Acute Respiratory Syndrome	cemiplimab	3	0.991883425
Severe Acute Respiratory Syndrome	cenegermin	2	0.651217293
Severe Acute Respiratory Syndrome	ceritinib	2	0.640975833
Severe Acute Respiratory Syndrome	cerivastatin	2	0.545204053
Severe Acute Respiratory Syndrome	cerliponase alfa	2	0.642321565
Severe Acute Respiratory Syndrome	certolizumab pegol	0	0.007433097
Severe Acute Respiratory Syndrome	ceruletide	3	0.965661217
Severe Acute Respiratory Syndrome	cetirizine	1	0.001217201
Severe Acute Respiratory Syndrome	cetrorelix	2.5	0.917337217
Severe Acute Respiratory Syndrome	cetuximab	1.727272727	0.004505963
Severe Acute Respiratory Syndrome	cevimeline	2.5	0.914019789
Severe Acute Respiratory Syndrome	chenodeoxycholic acid	2.333333333	0.82617276
Severe Acute Respiratory Syndrome	chloramphenicol	1	4.10E-05
Severe Acute Respiratory Syndrome	chlorcyclizine	1	0.000485529
Severe Acute Respiratory Syndrome	chlordiazepoxide	2.076923077	0.065117877
Severe Acute Respiratory Syndrome	chlorhexidine	2	0.344044106
Severe Acute Respiratory Syndrome	chlormerodrin	2	0.317085793
Severe Acute Respiratory Syndrome	chlormezanone	2	0.424072651
Severe Acute Respiratory Syndrome	chlorobutanol	2	0.599239516
Severe Acute Respiratory Syndrome	chloroprocaine	2	0.282829544
Severe Acute Respiratory Syndrome	chloroquine	1.333333333	0.011427021
Severe Acute Respiratory Syndrome	chlorothiazide	2.333333333	0.91079808
Severe Acute Respiratory Syndrome	chlorpheniramine	1.75	0.013114373
Severe Acute Respiratory Syndrome	chlorpromazine	2.076923077	0.894409005
Severe Acute Respiratory Syndrome	chlorpropamide	3	0.973846712
Severe Acute Respiratory Syndrome	chlorprothixene	2.083333333	0.584837871
Severe Acute Respiratory Syndrome	chlorthalidone	2.5	0.828927854
Severe Acute Respiratory Syndrome	chlorzoxazone	2	0.539827837
Severe Acute Respiratory Syndrome	cholecalciferol	2	0.696022825
Severe Acute Respiratory Syndrome	cholecystokinin	2.166666667	0.967042652
Severe Acute Respiratory Syndrome	cholesterol	2	0.747791673
Severe Acute Respiratory Syndrome	choline	2.142857143	0.666475825
Severe Acute Respiratory Syndrome	choline magnesium trisalicylate	2	0.553579205
Severe Acute Respiratory Syndrome	choline salicylate	2.142857143	0.707491192
Severe Acute Respiratory Syndrome	chondroitin sulfate	1.5	0.001051428
Severe Acute Respiratory Syndrome	choriogonadotropin alfa	2	0.5599948
Severe Acute Respiratory Syndrome	chorionic gonadotropin (human)	2	0.477056881
Severe Acute Respiratory Syndrome	chromic chloride	1	0.006830513
Severe Acute Respiratory Syndrome	chromic nitrate	2	0.515010203
Severe Acute Respiratory Syndrome	chromium	2	0.578054424
Severe Acute Respiratory Syndrome	chromium gluconate	2	0.517763715
Severe Acute Respiratory Syndrome	chromium nicotinate	2	0.601210972
Severe Acute Respiratory Syndrome	chromous sulfate	2	0.617911422
Severe Acute Respiratory Syndrome	chymopapain	2	0.411941066
Severe Acute Respiratory Syndrome	ciclesonide	2	0.74758846
Severe Acute Respiratory Syndrome	ciclopirox	2	0.607564331
Severe Acute Respiratory Syndrome	cilastatin	3	0.893614659
Severe Acute Respiratory Syndrome	cilazapril	0	1.28E-11
Severe Acute Respiratory Syndrome	cilostazol	2	0.575927349
Severe Acute Respiratory Syndrome	cimetidine	3	0.79420095
Severe Acute Respiratory Syndrome	cinacalcet	2	0.511012044
Severe Acute Respiratory Syndrome	cinchocaine	1.666666667	0.282829544
Severe Acute Respiratory Syndrome	cinnarizine	2.125	0.480800831
Severe Acute Respiratory Syndrome	ciprofibrate	2	0.636755338
Severe Acute Respiratory Syndrome	ciprofloxacin	2	0.669116496
Severe Acute Respiratory Syndrome	cisapride	2	0.338474449
Severe Acute Respiratory Syndrome	cisatracurium	3	0.907687742
Severe Acute Respiratory Syndrome	cisplatin	1.75	0.317660077
Severe Acute Respiratory Syndrome	citalopram	1.5	0.007383403
Severe Acute Respiratory Syndrome	citric acid	2.090909091	0.745001203
Severe Acute Respiratory Syndrome	citrulline	1.916666667	0.052177397
Severe Acute Respiratory Syndrome	cladribine	1.777777778	0.071655159
Severe Acute Respiratory Syndrome	clarithromycin	2	0.629927932
Severe Acute Respiratory Syndrome	clemastine	1	0.002170363
Severe Acute Respiratory Syndrome	clenbuterol	1.4	0.002322794
Severe Acute Respiratory Syndrome	clevidipine	2	0.289731748
Severe Acute Respiratory Syndrome	clidinium	3	0.973846712
Severe Acute Respiratory Syndrome	clobazam	2.076923077	0.062272405
Severe Acute Respiratory Syndrome	clobetasol propionate	2	0.777123545
Severe Acute Respiratory Syndrome	clobetasone	2	0.77223895
Severe Acute Respiratory Syndrome	clocortolone	2	0.737578529
Severe Acute Respiratory Syndrome	clodronic acid	2	0.788615182
Severe Acute Respiratory Syndrome	clofarabine	1.5	0.019392058
Severe Acute Respiratory Syndrome	clofazimine	2	0.368095262
Severe Acute Respiratory Syndrome	clofedanol	1	0.000222043
Severe Acute Respiratory Syndrome	clofibrate	2	0.636755338
Severe Acute Respiratory Syndrome	clomifene	1.5	0.531849286
Severe Acute Respiratory Syndrome	clomipramine	2	0.420789619
Severe Acute Respiratory Syndrome	clonazepam	2.066666667	0.106881571
Severe Acute Respiratory Syndrome	clonidine	2.333333333	0.988070014
Severe Acute Respiratory Syndrome	clopidogrel	3	0.758144591
Severe Acute Respiratory Syndrome	clorazepic acid	2.071428571	0.095201963
Severe Acute Respiratory Syndrome	clotiazepam	2.076923077	0.163931417
Severe Acute Respiratory Syndrome	clotrimazole	2	0.478762193
Severe Acute Respiratory Syndrome	clove oil	1.5	0.055270151
Severe Acute Respiratory Syndrome	clozapine	2.296296296	0.998925302
Severe Acute Respiratory Syndrome	coagulation factor ix (recombinant)	1	2.55E-18
Severe Acute Respiratory Syndrome	coagulation factor ix human	1	2.62E-18
Severe Acute Respiratory Syndrome	coagulation factor vii human	1.333333333	3.99E-05
Severe Acute Respiratory Syndrome	coagulation factor viia recombinant human	1.833333333	0.040077029
Severe Acute Respiratory Syndrome	cobimetinib	1	0.023296852
Severe Acute Respiratory Syndrome	cocaine	2.111111111	0.610338237
Severe Acute Respiratory Syndrome	coccidioides immitis spherule	1	2.14E-08
Severe Acute Respiratory Syndrome	codeine	2	0.628530899
Severe Acute Respiratory Syndrome	colchicine	1	0.073469188
Severe Acute Respiratory Syndrome	collagenase clostridium histolyticum	2	0.77223895
Severe Acute Respiratory Syndrome	conestat alfa	1.333333333	1.30E-07
Severe Acute Respiratory Syndrome	conivaptan	2	0.377174872
Severe Acute Respiratory Syndrome	conjugated estrogens	2	0.996738499
Severe Acute Respiratory Syndrome	copanlisib	1.5	0.091254102
Severe Acute Respiratory Syndrome	copper	1.735294118	3.37E-06
Severe Acute Respiratory Syndrome	corifollitropin alfa	2	0.61575626
Severe Acute Respiratory Syndrome	corticorelin ovine triflutate	2	0.5
Severe Acute Respiratory Syndrome	corticotropin	2.5	0.903963478
Severe Acute Respiratory Syndrome	cortisone acetate	2	0.777123545
Severe Acute Respiratory Syndrome	creatine	1.857142857	0.06921634
Severe Acute Respiratory Syndrome	crisaborole	2	0.391805149
Severe Acute Respiratory Syndrome	crizanlizumab	2	0.489748698
Severe Acute Respiratory Syndrome	crizotinib	2	0.765706512
Severe Acute Respiratory Syndrome	crofelemer	2	0.695499188
