Disease	Drug
Spinal cord injury 	ac-105
Bladder disease 	mcp-204
Alzheimer disease 	molecule 22
Bipolar disorder 	pgx-5188
Hypertension 	moexipril
Solid tumour/cancer 	transcobalamin (vitamin b12) receptor-targeting mabtcr23-saporin conjugate
Rotavirus infection (Diarrhoea) 	rotavirus vaccine, , lanzhou institute of biological products
Rheumatoid arthritis 	niflumic acid
Neurological disorder 	erythritol
Type-1 diabetes 	insulin b chain vaccine
Insulin-dependent diabetes 	insulin b chain vaccine
Bacterial infection 	cp-111905
Nasal congestion 	pseudoephedrine
Human immunodeficiency virus-1 infection 	afo-18
Tobacco dependence 	nicotine transmucosal
Renal cell carcinoma 	tv1-kidney-1
Hypercalcaemia 	clodronate
Anemia 	rhb1.1
Motor neurone disease 	tdi-0051
Haematological malignancy 	moxetumomab pasudotox
Hairy cell leukaemia 	moxetumomab pasudotox
Dermatomycosis 	naftifine
Breast cancer 	on-04
Multiple sclerosis 	tx-msd
Infectious disease 	ty800
Pancreatic cancer 	algenpantucel-l
Osteopetrosis 	apomine
Transplant rejection 	xe-9
Solid tumour/cancer 	pgf2alpha
Solid tumour/cancer 	nddp
Bacterial infection 	cyclacillin
Hyperlipidaemia 	cdt-fenofibrate
Influenza virus infection 	h5n1 influenza vaccine
Staphylococcus infection 	afn-1252
Growth hormone deficiency 	ypeg-somatropin
Lung cancer 	gs-497c
Major depressive disorder 	trimipramine
Urolithiasis 	hemiacidrin
Solid tumour/cancer 	aps001f
Pain 	piroxicam
Peripheral vascular disease 	sh-529
Angina pectoris 	naltiazem hydrochloride
Autoimmune diabetes 	fp-187
Solid tumour/cancer 	emdogain
Autoimmune diabetes 	phenylalanine hydroxylase
Allergic rhinitis 	crtx-070
Lipid metabolism disorder 	drl-21994
Solid tumour/cancer 	ino-1400
Breast cancer 	ino-1400
Pancreatic cancer 	mvt-1075
Solid tumour/cancer 	mvt-1075
Solid tumour/cancer 	azd1208
Friedreich's ataxia 	epi-a0001
Anxiety disorder 	zatosetron maleate
Epilepsy 	pf-04895162
Liver cancer 	occlusin
Multiple sclerosis 	cyt-017-il17qb
Autoimmune diabetes 	cgp-47969a
Pain 	rq-00000007 (oral)
Influenza virus infection 	homspera
Schizophrenia 	e-5842
Multiple sclerosis 	mt-1303
Crohn disease 	mt-1303
Bleeding disorder 	prt4445
Pneumonia 	clinafloxacin
Rheumatoid arthritis 	k-832
Open-angle glaucoma 	levobunolol
Ventilator-associated pneumonia 	murepavadin
Metastatic colorectal cancer 	navicixizumab
Colorectal cancer 	navicixizumab
Fallopian tube cancer 	navicixizumab
Ovarian cancer 	navicixizumab
Peritoneal cavity cancer 	navicixizumab
Major depressive disorder 	rp-6000
Blood forming organ disorder 	polyheme
Urinary incontinence 	dr-3001
Substance use disorder 	gs-6637
Breast cancer 	maraciclatide
Solid tumour/cancer 	aezs-127
Arteriosclerosis 	dvc1-0101
Diabetic complication 	bm-13.1188
Ocular infection 	dcn01
Hypertension 	irbesartan
Neuropathic pain 	pyrido[3,2-d]pyrimidine derivative 1
Pruritus 	pyrido[3,2-d]pyrimidine derivative 1
Solid tumour/cancer 	pyrido[3,2-d]pyrimidine derivative 1
Chronic pain 	pyrido[3,2-d]pyrimidine derivative 1
Thymic cancer 	pyrido[3,2-d]pyrimidine derivative 1
Chronic obstructive pulmonary disease 	ur-5908
Immune System disease 	newgam
Acute lymphoblastic leukaemia 	cd19/cd22 car t cells
Multiple sclerosis 	ax-024
Acute lymphoblastic leukaemia 	mgd006
Acute myeloid lymphoma 	mgd006
Cachexia 	amx-213
Atopic dermatitis 	an-2898
Breast cancer 	arn-810
Solid tumour/cancer 	mdc-917
Solid tumour/cancer 	pf-4989216
Solid tumour/cancer 	ikh-25
Human immunodeficiency virus infection 	rap101
Multiple sclerosis 	laviv
Pancreatic cancer 	hs-p1
Allergy 	smt-14400
Contraception 	hra-081035
Colorectal cancer 	amp-224
Solid tumour/cancer 	amp-224
Alzheimer disease 	tenilsetam
Ephelides 	benzimidazole derivative 3
Melasma 	benzimidazole derivative 3
Menkes disease 	benzimidazole derivative 3
Albinism 	benzimidazole derivative 3
Senile lentigines 	benzimidazole derivative 3
Arteriosclerosis 	bay-60-5521
Sarcoma 	rx-465
Schizophrenia 	asenapine
Glaucoma/ocular hypertension 	pgf2alpha-ie
Attention deficit hyperactivity disorder 	fluoratec
Inflammatory bowel disease 	atb-429
Allergic conjunctivitis 	azelastine
Human immunodeficiency virus-1 infection 	ibalizumab
Inflammation 	lex-028
Inflammation 	incb-10820
Influenza virus infection 	gsk2321138a
Solid tumour/cancer 	anti-fgfr1 mab program
Asthma 	ep-012637
Major depressive disorder 	antidepressant
Solid tumour/cancer 	enkastim-iv
Colorectal cancer 	anti-cea car-t cells
Gastric adenocarcinoma 	anti-cea car-t cells
Pancreatic cancer 	anti-cea car-t cells
Peritoneal metastasis 	anti-cea car-t cells
Dry cough 	dextromethorphan polistirex
Ovarian cancer 	abagovomab
Allergy 	ivn-201
Diabetic neuropathy 	tak-128
Solid tumour/cancer 	anti-psma car-t cell therapy
Schizophrenia 	pimozide
Parkinson disease 	ensaculin hydrochloride
Lymphoma 	mkc-242844
Methicillin-resistant staphylococci infection 	mut-056399
Crohn disease 	pmid26651364-compound-5
Ulcerative colitis 	pmid26651364-compound-5
Urinary tract infection 	pmid26651364-compound-5
Stomach ulcer 	kr-6346
Alzheimer disease 	immune globulin + albumin
leukaemia 	cep-37309
Solid tumour/cancer 	syn004
Type-1/2 diabetes 	oi362gt
Solid tumour/cancer 	bi-853520
Allergy 	pegylated pitrakinra
Asthma 	pegylated pitrakinra
Arteriosclerosis 	fr-129169
Ulcerative colitis 	olsalazine
Gastrointestinal disease 	indocyanine green
Bacterial infection 	mt-274 lead
Cancer related pain 	pmid25666693-compound-121
Inflammatory pain 	pmid25666693-compound-121
Neuropathic pain 	pmid25666693-compound-121
Osteoarthritis pain 	pmid25666693-compound-121
Lung cancer 	salirasib
Major depressive disorder 	cutamesine
Worm infection 	albendazole
Solid tumour/cancer 	lp-261
Heart arrhythmia 	recainam
Ileus 	pyn-9
Harmful effects of drugs, medicaments or biological substances 	ciraparantag
Arteriosclerosis 	lf-13-0491c
Respiratory disease 	va-118020
Cardiovascular disease 	3,5-diiodothyropropionic acid (allan-herndon-dudley syndrome), zarion pharmaceuticals
Solid tumour/cancer 	upa-targeted oncolytic sendai virus
Premature labour 	ritodrine
Psoriasis vulgaris 	nn-8226
Solid tumour/cancer 	tp-0903
Solid tumour/cancer 	gs-9219
Hypertension 	int0001/2004
Metastatic cancer 	heteroaryl-carboxamide derivative 4
Solid tumour/cancer 	heteroaryl-carboxamide derivative 4
Pulmonary disease 	ap-006
Non-insulin dependent diabetes 	ro-5212651
Solid tumour/cancer 	kpt-330
Acute myeloid leukaemia 	kpt-330
Diffuse large B-cell lymphoma 	kpt-330
Liposarcoma 	kpt-330
Multiple myeloma 	kpt-330
Neuroendocrine cancer 	kpt-330
Recurrent glioblastoma 	kpt-330
Thrombosis 	rwj-671818
Diabetic complication 	vapill
Anemia 	prs-080
Non-insulin dependent diabetes 	serx-1
Rheumatoid arthritis 	vidofludimus
Inflammatory bowel disease 	vidofludimus
Albinism 	pmid26815044-compound-126
Ephelides 	pmid26815044-compound-126
Melasma 	pmid26815044-compound-126
Menkes disease 	pmid26815044-compound-126
Senile lentigines 	pmid26815044-compound-126
Dysmenorrhea 	va-111913
Neuropathic pain 	af-3473
Acromegaly 	bvt-a
Bone marrow transplantation 	promegapoietin
Lung infection 	panaecin
Neutropenia 	gc-003
Cerebrovascular ischaemia 	bw-1003c87
Autoimmune diabetes 	lymphocyte-specific tyrosine kinase inhibitors
Cough 	cp1
Inflammation 	czc-19091
Obesity 	sulfonamide derivative 3
Kidney injury 	aa-184
Myeloproliferative syndrome 	amg-jak2-01
Asthma 	grc-6211
Lymphoma 	iratumumab
Alzheimer disease 	aad-2004
Osteoporosis 	bb-pth 1-84
Renal cell carcinoma 	ags-16m8f
Female sexual arousal dysfunction 	rec2615
Lung cancer 	prinomastat
Myelodysplastic syndrome 	eltanexor oral
Colorectal cancer 	eltanexor oral
Metastatic malignant neoplasm 	recombinant uteroglobin
Asthma 	sch-45752
Poison intoxication 	aspartame
Cerebrovascular ischaemia 	gpi-3000
Neuropathic pain 	pmid28270021-compound-wo2016054807example1
Pruritus 	pmid28270021-compound-wo2016054807example1
Solid tumour/cancer 	pmid28270021-compound-wo2016054807example1
Chronic pain 	pmid28270021-compound-wo2016054807example1
Thymic cancer 	pmid28270021-compound-wo2016054807example1
Asthma 	sr-2640
Hypertension 	jtp-4761
Hyperthyroidism 	propylthiouracil
Obesity 	cp-114271
Solid tumour/cancer 	emactuzumab
Solid tumour/cancer 	pyrazole derivative 61
Metastatic cancer 	pyrazole derivative 61
Bacterial infection 	protosufloxacin
Fatty acid disorder 	triheptanoin
Genetic epileptic syndromes with variable age of onset 	triheptanoin
Human immunodeficiency virus infection 	abacavir/dolutegravir/lamivudine
Human immunodeficiency virus infection 	hiv gp41 vaccine
Solid tumour/cancer 	jx-1395
Schizophrenia 	pd-165167
leukaemia 	mdptq
Hypertension 	fr-149581
Serious infection 	sar279356
Acute lymphoblastic leukaemia 	cd19 car-t cells
Bacterial infection 	ro-48-8391
Lysosomal storage disease 	ux-004
Migraine 	mk-3207
Depression 	protriptyline
Anaesthesia 	thiopental
Myelofibrosis 	ns-018
Infectious disease 	ltx-100
Hypertension 	fk-788
Psychomotor agitation 	promazine
Amyotrophic lateral sclerosis 	gm06
Basal cell carcinoma 	remetinostat
Cutaneous T-cell lymphoma 	remetinostat
Colorectal cancer 	oncos-102
Melanoma 	oncos-102
Ovarian cancer 	oncos-102
Wound healing 	tgf beta 2 receptor peptantagonists
Solid tumour/cancer 	bi-754091
Advanced malignancy 	bi-754091
Genetic disease 	atyr-1920
Autoimmune diabetes 	sfc
Urinary tract infection 	mezlocillin
Bronchitis 	clofoctol
Congestive heart failure 	triamterene
Edema 	triamterene
Hypertension 	triamterene
Multiple myeloma 	milatuzumab-dox
Paget's disease 	etidronic acid
Overactive bladder 	asp-3652
Human immunodeficiency virus infection 	mk-0536
Solid tumour/cancer 	obp-401
Type-1 diabetes 	betarx
Chronic obstructive pulmonary disease 	mmp-408
Chronic lymphocytic leukaemia 	abt-199/gdc-0199
Influenza virus infection 	zanamivir
Osteoporosis 	minodronate
Solid tumour/cancer 	xl-820
Histoplasma infection 	histoplasmin
Rheumatoid arthritis 	olokizumab
Plaque psoriasis 	idp-122 topical
Ovarian cancer 	sns-595
Acute myeloid leukaemia 	sns-595
Asthma 	flezelastine
Hypertension 	forasartan
Hepatitis B virus infection 	ypeginterferon alfa-2a (chronic hepatitis b/c) amoytop
Urinary tract infection 	gsk-2251052
IgG4 related disease 	xmab 5871
Rheumatoid arthritis 	xmab 5871
Systemic lupus erythematosus 	xmab 5871
Autoimmune diabetes 	xmab 5871
Breast cancer 	varlitinib
Metastatic biliary tract neoplasms 	varlitinib
Spinal muscular atrophy 	aav2/8-cba-hsmn1
Pancreatic cancer 	ly2603618
Bone metastases 	apx-007
Allergic rhinitis 	gw-328267
Bacterial infection 	lenampicillin hci
Solid tumour/cancer 	cct-018159
Prurigo nodularis 	nalbuphine extended release
Uremic pruritus 	nalbuphine extended release
Glioma 	antineoplaston therapy
Osteoarthritis pain 	pmid25666693-compound-95
Cancer related pain 	pmid25666693-compound-95
Inflammatory pain 	pmid25666693-compound-95
Neuropathic pain 	pmid25666693-compound-95
Gastrointestinal disease 	asperlicin
Atopic dermatitis 	anapsos
Fibrosis 	pro-gr-300
Huntington disease 	qbp1 mimetics
Bacterial infection 	pc4708
Inflammatory pain 	pmid25666693-compound-149
Cancer related pain 	pmid25666693-compound-149
Neuropathic pain 	pmid25666693-compound-149
Osteoarthritis pain 	pmid25666693-compound-149
Obesity 	sj-brv
Asthma 	cwf-0710
Solid tumour/cancer 	cab-axl-adc
Solid tumour/cancer 	e-7107
Thrombocytopenia 	fostamatinib disodium
Hepatitis C virus infection 	bms-824393
Inflammation 	p-979
Atrial fibrillation 	vernakalant
Solid tumour/cancer 	ly3022855
Inflammatory bowel disease 	proximab
Lleum inflammation 	isis 1570
Insomnia 	evt-201
Solid tumour/cancer 	pf-06650808
Insomnia 	suvorexant
Cocaine addiction 	rbp-8000
Multiple myeloma 	bb21217
Breast cancer 	companion diagnostic test egfr-tki
Ovarian cancer 	motolimid
Pain 	imisopasem manganese
Tourette syndrome 	thx-ts01
Neurological disorder 	suvn-501
Chronic lymphocytic leukaemia 	gdc-0199
Solid tumour/cancer 	gdc-0199
Solid tumour/cancer 	kuzbanian
Idiopathic thrombocytopenic purpura 	eltrombopag
Thrombocytopenia 	eltrombopag
Colorectal cancer 	mgd007
Metastatic colorectal cancer 	mgd007
Motor neurone disease 	als-aav9
Asthma 	rv-1088
Angiogenesis disorder 	carboxylic acid derivative 1
Neoplasm 	carboxylic acid derivative 1
Type-2 diabetes 	fk-614
Solid tumour/cancer 	sri-21009
Breast cancer 	prosorba
Hypertension 	nitroprusside
Glaucoma/ocular hypertension 	mystilol
Cervical Intraepithelial neoplasia 	vgx-3100
Dysplasia 	vgx-3100
Human papillomavirus infection 	vgx-3100
Vulvar intraepithelial neoplasia 	vgx-3100
Vulvar squamous intraepithelial lesion 	vgx-3100
Hypertension 	dl-017
Bacterial infection 	siderophore-conjugated monocarbams
Pain 	ne-2
Toxicity 	edetate calcium disodium
Behcet disease 	ezogabine extended release
Hypotension 	nox-100
Lymphoma 	dasiprotimut-t
Rheumatoid arthritis 	bt-016
Schizophrenia 	fananserin
Anxiety disorder 	nbi-37582
Depression 	nbi-37582
Type-2 diabetes 	ac-187
Solid tumour/cancer 	terpenoid schweinfurthins
Bacterial infection 	pf-708093
Acute respiratory distress syndrome 	dd7
Sepsis 	dd7
Myocardial reperfusion injury 	dd7
Cardiovascular disease 	angiogenesis promoters
Solid tumour/cancer 	mg-401
Pain 	scp-123
Acute lymphoblastic leukaemia 	inotuzumab ozogamicin
Acute lymphocytic leukaemia 	inotuzumab ozogamicin
Asthma 	montelukast
Cancer related pain 	pmid25666693-compound-60
Inflammatory pain 	pmid25666693-compound-60
Neuropathic pain 	pmid25666693-compound-60
Osteoarthritis pain 	pmid25666693-compound-60
Liver cancer 	gr-dd1
Cocaine addiction 	o-2442
Non-insulin dependent diabetes 	err alpha modulators
Hepatitis C virus infection 	human interferon alpha oral
Cerebral infarction 	ak-295
Huntington disease 	huntingtin gene antisense
Ischemia-reperfusion injury 	ps-519
Influenza virus infection 	influvac tc
Chronic obstructive pulmonary disease 	sch-527123
Solid tumour/cancer 	sch-527123
Ulcerative colitis 	sch-527123
Inflammatory bowel disease 	sch-527123
Diabetic neuropathy 	t2c-003
Diabetic neuropathy 	bms-954561
Melanoma 	lovaxin m
Hyperlipidaemia 	laropiprant/niacin/ simvastatin combination
Anxiety disorder 	org-13011
Major depressive disorder 	org-13011
Psychotic disorder 	org-13011
Arteriosclerosis 	f-2833
Arthritis 	oct-sg815
Diagnostic imaging 	99mtc-rp-128
Hepatitis C virus infection 	a-058
Mycobacterium infection 	mddr 184045
Solid tumour/cancer 	th-1320
Gram-positive bacterial infection 	am-3005
Diabetic complication 	ttp-814
Renal cell carcinoma 	atn-161
Albinism 	resorcinol compound 23
Ephelides 	resorcinol compound 23
Menkes disease 	resorcinol compound 23
Senile lentigines 	resorcinol compound 23
Melasma 	resorcinol compound 23
Acute myeloid leukaemia 	cll1-specific gene-engineered t cells
Arteriosclerosis 	bms-779788
leukaemia 	wt1 peptide vaccine
Growth hormone deficiency 	growth hormone
Short bowel syndrome 	teduglutide
Inflammation 	opn-401
Ulcerative colitis 	pmid26651364-compound-116
Urinary tract infection 	pmid26651364-compound-116
Crohn disease 	pmid26651364-compound-116
Hepatitis C virus infection 	psi-6130
Thrombosis 	gcc-4401
Erectile dysfunction 	ion channel therapy
Solid tumour/cancer 	rg7876
Autoimmune diabetes 	b7/cd28 costimulatory proteins
Fungal infection 	rilopirox
Nausea 	pancopride
Ovulation dysfunction 	ganirelix
Allergic conjunctivitis 	house dust mite allergen
Chronic lymphocytic leukaemia 	bibx-1382
Pain 	iqb-9302
Diabetic complication 	adjustable basal insulin
Virus infection 	epb-200
Pain 	asp-1120
Ulcerative colitis 	biaryl mannoside derivative 8
Crohn disease 	biaryl mannoside derivative 8
Urinary tract infection 	biaryl mannoside derivative 8
Alzheimer disease 	biib037
Advanced malignancy 	xmab-20717
Solid tumour/cancer 	xmab-20717
Liver disease 	porcine liver cells
Bladder cancer 	vicinium
Solid tumour/cancer 	227th-rituximab (cancer), algeta
Mood disorder 	cx157
Muscle wasting disease 	ft-301
Trypanosomiasis 	fexinidazole
Solid tumour/cancer 	sb-1578
Acute myeloid leukaemia 	iph-2102
Hepatitis C virus infection 	epb-500
Inflammatory bowel disease 	recoflavone eye drops
Angina pectoris 	perhexiline
